arch,category,rule,count,expanded_count,path
IS,metal,M2.W.4,50,50,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M2.S.1,561,561,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M2.S.7,11,11,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M2.S.8,18,18,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M3.S.1,342,342,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M4.S.1,331,331,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M4.S.2,1,1,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M5.S.1,330,330,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
IS,metal,M6.S.1,1,330,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.M7,7,7,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.M9,4,4,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.M10,36,36,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.VIA6,1198,1206,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.VIA7,1192,1192,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.VIA8,312,312,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,user_guide,USER_GUIDE.VIA9,632,632,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,warning,IO_CONNECT_CORE_NET_VOLTAGE_IS_CORE:WARNING1,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,warning,FLIP_CHIP_WITHOUT_28K_AP:WARNING,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,warning,DIODMY_L:WARNING,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
